case_id,variant_id,split,utility,pathology,error_count
dev-01,approval_base,dev,0.40,0,0
dev-01,approval_guarded,dev,0.56,0,0
dev-01,approval_prioritized,dev,0.50,0,0
dev-01,approval_guarded_prioritized,dev,0.55,0,0
dev-02,approval_base,dev,0.22,0,0
dev-02,approval_guarded,dev,0.38,0,0
dev-02,approval_prioritized,dev,0.30,0,0
dev-02,approval_guarded_prioritized,dev,0.34,0,0
dev-03,approval_base,dev,-0.10,1,1
dev-03,approval_guarded,dev,0.08,0,0
dev-03,approval_prioritized,dev,0.02,0,0
dev-03,approval_guarded_prioritized,dev,-0.02,1,0
dev-04,approval_base,dev,0.35,0,0
dev-04,approval_guarded,dev,0.49,0,0
dev-04,approval_prioritized,dev,0.44,0,0
dev-04,approval_guarded_prioritized,dev,0.48,0,0
holdout-01,approval_base,holdout,0.50,0,0
holdout-01,approval_guarded,holdout,0.64,0,0
holdout-01,approval_prioritized,holdout,0.58,0,0
holdout-01,approval_guarded_prioritized,holdout,0.63,0,0
holdout-02,approval_base,holdout,0.36,0,0
holdout-02,approval_guarded,holdout,0.52,0,0
holdout-02,approval_prioritized,holdout,0.45,0,0
holdout-02,approval_guarded_prioritized,holdout,0.47,0,0
holdout-03,approval_base,holdout,0.14,1,0
holdout-03,approval_guarded,holdout,0.32,0,0
holdout-03,approval_prioritized,holdout,0.24,0,0
holdout-03,approval_guarded_prioritized,holdout,0.20,1,1
holdout-04,approval_base,holdout,0.58,0,0
holdout-04,approval_guarded,holdout,0.72,0,0
holdout-04,approval_prioritized,holdout,0.66,0,0
holdout-04,approval_guarded_prioritized,holdout,0.66,0,0
