profile_id,split,baseline_variant_id,candidate_variant_id,metric,metric_group,baseline_value,candidate_value,delta,ci_low,ci_high,n_cases,n_paired,paired_coverage_rate
replay_outcomes_v1,dev,approval_baseline_v1,approval_overactive_v1,error_case_rate,reliability,0.0,0.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_overactive_v1,mean_decision_count,diagnostics,1.0,1.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_overactive_v1,mean_utility,utility,0.795625,0.12062500000000001,-0.675,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_overactive_v1,median_utility,utility,0.9,-0.45,-1.35,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_overactive_v1,paired_coverage_rate,diagnostics,1.0,1.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_overactive_v1,pathology_rate,reliability,0.0,0.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_overactive_v1,terminal_rate,reliability,1.0,1.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_targeted_v2,error_case_rate,reliability,0.0,0.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_targeted_v2,mean_decision_count,diagnostics,1.0,1.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_targeted_v2,mean_utility,utility,0.795625,0.885,0.08937499999999998,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_targeted_v2,median_utility,utility,0.9,0.97,0.06999999999999995,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_targeted_v2,paired_coverage_rate,diagnostics,1.0,1.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_targeted_v2,pathology_rate,reliability,0.0,0.0,0.0,,,16,16,1.0
replay_outcomes_v1,dev,approval_baseline_v1,approval_targeted_v2,terminal_rate,reliability,1.0,1.0,0.0,,,16,16,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_overactive_v1,error_case_rate,reliability,0.0,0.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_overactive_v1,mean_decision_count,diagnostics,1.0,1.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_overactive_v1,mean_utility,utility,0.79,-0.15000000000000002,-0.9400000000000001,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_overactive_v1,median_utility,utility,0.9,-0.45,-1.35,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_overactive_v1,paired_coverage_rate,diagnostics,1.0,1.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_overactive_v1,pathology_rate,reliability,0.0,0.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_overactive_v1,terminal_rate,reliability,1.0,1.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_targeted_v2,error_case_rate,reliability,0.0,0.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_targeted_v2,mean_decision_count,diagnostics,1.0,1.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_targeted_v2,mean_utility,utility,0.79,0.885,0.09499999999999997,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_targeted_v2,median_utility,utility,0.9,0.97,0.06999999999999995,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_targeted_v2,paired_coverage_rate,diagnostics,1.0,1.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_targeted_v2,pathology_rate,reliability,0.0,0.0,0.0,,,8,8,1.0
replay_outcomes_v1,holdout,approval_baseline_v1,approval_targeted_v2,terminal_rate,reliability,1.0,1.0,0.0,,,8,8,1.0
