case_id,variant_id,start_ts_utc,end_ts_utc,n_steps,terminated,termination_reason,final_status,decision_count,error_count,summary_metrics_json
dev-ambiguous-1,approval_baseline_v1,2026-03-01T08:00:00Z,2026-03-01T12:28:00Z,5,True,escalate,completed,1,0,"{""utility"":0.42000000000000004}"
dev-ambiguous-2,approval_baseline_v1,2026-03-02T08:00:00Z,2026-03-02T12:28:00Z,5,True,escalate,completed,1,0,"{""utility"":0.42000000000000004}"
dev-ambiguous-3,approval_baseline_v1,2026-03-03T08:00:00Z,2026-03-03T12:28:00Z,5,True,escalate,completed,1,0,"{""utility"":0.42000000000000004}"
dev-ambiguous-4,approval_baseline_v1,2026-03-04T08:00:00Z,2026-03-04T11:21:00Z,4,True,escalate,completed,1,0,"{""utility"":0.51}"
dev-approve-1,approval_baseline_v1,2026-02-01T08:00:00Z,2026-02-01T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.9400000000000002}"
dev-approve-2,approval_baseline_v1,2026-02-02T08:00:00Z,2026-02-02T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.9400000000000002}"
dev-approve-3,approval_baseline_v1,2026-02-03T08:00:00Z,2026-02-03T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.9400000000000002}"
dev-approve-4,approval_baseline_v1,2026-02-04T08:00:00Z,2026-02-04T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.9400000000000002}"
dev-late-1,approval_baseline_v1,2026-03-01T08:00:00Z,2026-03-01T12:28:00Z,5,True,approve,completed,1,0,"{""utility"":0.8799999999999999}"
dev-late-2,approval_baseline_v1,2026-03-02T08:00:00Z,2026-03-02T12:28:00Z,5,True,reject,completed,1,0,"{""utility"":0.8799999999999999}"
dev-late-3,approval_baseline_v1,2026-03-03T08:00:00Z,2026-03-03T12:28:00Z,5,True,approve,completed,1,0,"{""utility"":0.8799999999999999}"
dev-late-4,approval_baseline_v1,2026-03-04T08:00:00Z,2026-03-04T12:28:00Z,5,True,reject,completed,1,0,"{""utility"":0.8799999999999999}"
dev-reject-1,approval_baseline_v1,2026-02-01T08:00:00Z,2026-02-01T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.9200000000000002}"
dev-reject-2,approval_baseline_v1,2026-02-02T08:00:00Z,2026-02-02T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.9200000000000002}"
dev-reject-3,approval_baseline_v1,2026-02-03T08:00:00Z,2026-02-03T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.9200000000000002}"
dev-reject-4,approval_baseline_v1,2026-02-04T08:00:00Z,2026-02-04T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.9200000000000002}"
holdout-ambiguous-1,approval_baseline_v1,2026-03-17T08:00:00Z,2026-03-17T12:28:00Z,5,True,escalate,completed,1,0,"{""utility"":0.42000000000000004}"
holdout-ambiguous-2,approval_baseline_v1,2026-03-18T08:00:00Z,2026-03-18T12:28:00Z,5,True,escalate,completed,1,0,"{""utility"":0.42000000000000004}"
holdout-approve-1,approval_baseline_v1,2026-02-17T08:00:00Z,2026-02-17T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.9400000000000002}"
holdout-approve-2,approval_baseline_v1,2026-02-18T08:00:00Z,2026-02-18T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.9400000000000002}"
holdout-late-1,approval_baseline_v1,2026-03-17T08:00:00Z,2026-03-17T12:28:00Z,5,True,approve,completed,1,0,"{""utility"":0.8799999999999999}"
holdout-late-2,approval_baseline_v1,2026-03-18T08:00:00Z,2026-03-18T12:28:00Z,5,True,reject,completed,1,0,"{""utility"":0.8799999999999999}"
holdout-reject-1,approval_baseline_v1,2026-02-17T08:00:00Z,2026-02-17T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.9200000000000002}"
holdout-reject-2,approval_baseline_v1,2026-02-18T08:00:00Z,2026-02-18T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.9200000000000002}"
