case_id,variant_id,start_ts_utc,end_ts_utc,n_steps,terminated,termination_reason,final_status,decision_count,error_count,summary_metrics_json
dev-ambiguous-1,approval_overactive_v1,2026-03-01T08:00:00Z,2026-03-01T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":0.78}"
dev-ambiguous-2,approval_overactive_v1,2026-03-02T08:00:00Z,2026-03-02T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":0.78}"
dev-ambiguous-3,approval_overactive_v1,2026-03-03T08:00:00Z,2026-03-03T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":0.78}"
dev-ambiguous-4,approval_overactive_v1,2026-03-04T08:00:00Z,2026-03-04T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":0.78}"
dev-approve-1,approval_overactive_v1,2026-02-01T08:00:00Z,2026-02-01T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
dev-approve-2,approval_overactive_v1,2026-02-02T08:00:00Z,2026-02-02T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
dev-approve-3,approval_overactive_v1,2026-02-03T08:00:00Z,2026-02-03T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
dev-approve-4,approval_overactive_v1,2026-02-04T08:00:00Z,2026-02-04T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
dev-late-1,approval_overactive_v1,2026-03-01T08:00:00Z,2026-03-01T09:07:00Z,2,True,escalate,completed,1,0,"{""utility"":-0.48000000000000004}"
dev-late-2,approval_overactive_v1,2026-03-02T08:00:00Z,2026-03-02T09:07:00Z,2,True,escalate,completed,1,0,"{""utility"":-0.48000000000000004}"
dev-late-3,approval_overactive_v1,2026-03-03T08:00:00Z,2026-03-03T09:07:00Z,2,True,escalate,completed,1,0,"{""utility"":-0.48000000000000004}"
dev-late-4,approval_overactive_v1,2026-03-04T08:00:00Z,2026-03-04T09:07:00Z,2,True,escalate,completed,1,0,"{""utility"":-0.48000000000000004}"
dev-reject-1,approval_overactive_v1,2026-02-01T08:00:00Z,2026-02-01T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
dev-reject-2,approval_overactive_v1,2026-02-02T08:00:00Z,2026-02-02T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
dev-reject-3,approval_overactive_v1,2026-02-03T08:00:00Z,2026-02-03T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
dev-reject-4,approval_overactive_v1,2026-02-04T08:00:00Z,2026-02-04T10:14:00Z,3,True,reject,completed,1,0,"{""utility"":0.9800000000000001}"
holdout-ambiguous-1,approval_overactive_v1,2026-03-17T08:00:00Z,2026-03-17T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":0.78}"
holdout-ambiguous-2,approval_overactive_v1,2026-03-18T08:00:00Z,2026-03-18T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":0.78}"
holdout-approve-1,approval_overactive_v1,2026-02-17T08:00:00Z,2026-02-17T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
holdout-approve-2,approval_overactive_v1,2026-02-18T08:00:00Z,2026-02-18T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
holdout-late-1,approval_overactive_v1,2026-03-17T08:00:00Z,2026-03-17T09:07:00Z,2,True,escalate,completed,1,0,"{""utility"":-0.48000000000000004}"
holdout-late-2,approval_overactive_v1,2026-03-18T08:00:00Z,2026-03-18T09:07:00Z,2,True,escalate,completed,1,0,"{""utility"":-0.48000000000000004}"
holdout-reject-1,approval_overactive_v1,2026-02-17T08:00:00Z,2026-02-17T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
holdout-reject-2,approval_overactive_v1,2026-02-18T08:00:00Z,2026-02-18T08:00:00Z,1,True,escalate,completed,1,0,"{""utility"":-0.45}"
