case_id,variant_id,start_ts_utc,end_ts_utc,n_steps,terminated,termination_reason,final_status,decision_count,error_count,summary_metrics_json
dev-ambiguous-1,approval_targeted_v2,2026-03-01T08:00:00Z,2026-03-01T10:14:00Z,3,True,escalate,completed,1,0,"{""utility"":0.6000000000000001}"
dev-ambiguous-2,approval_targeted_v2,2026-03-02T08:00:00Z,2026-03-02T10:14:00Z,3,True,escalate,completed,1,0,"{""utility"":0.6000000000000001}"
dev-ambiguous-3,approval_targeted_v2,2026-03-03T08:00:00Z,2026-03-03T10:14:00Z,3,True,escalate,completed,1,0,"{""utility"":0.6000000000000001}"
dev-ambiguous-4,approval_targeted_v2,2026-03-04T08:00:00Z,2026-03-04T10:14:00Z,3,True,escalate,completed,1,0,"{""utility"":0.6000000000000001}"
dev-approve-1,approval_targeted_v2,2026-02-01T08:00:00Z,2026-02-01T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
dev-approve-2,approval_targeted_v2,2026-02-02T08:00:00Z,2026-02-02T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
dev-approve-3,approval_targeted_v2,2026-02-03T08:00:00Z,2026-02-03T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
dev-approve-4,approval_targeted_v2,2026-02-04T08:00:00Z,2026-02-04T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
dev-late-1,approval_targeted_v2,2026-03-01T08:00:00Z,2026-03-01T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.96}"
dev-late-2,approval_targeted_v2,2026-03-02T08:00:00Z,2026-03-02T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.96}"
dev-late-3,approval_targeted_v2,2026-03-03T08:00:00Z,2026-03-03T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.96}"
dev-late-4,approval_targeted_v2,2026-03-04T08:00:00Z,2026-03-04T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.96}"
dev-reject-1,approval_targeted_v2,2026-02-01T08:00:00Z,2026-02-01T10:14:00Z,3,True,reject,completed,1,0,"{""utility"":0.9800000000000001}"
dev-reject-2,approval_targeted_v2,2026-02-02T08:00:00Z,2026-02-02T10:14:00Z,3,True,reject,completed,1,0,"{""utility"":0.9800000000000001}"
dev-reject-3,approval_targeted_v2,2026-02-03T08:00:00Z,2026-02-03T10:14:00Z,3,True,reject,completed,1,0,"{""utility"":0.9800000000000001}"
dev-reject-4,approval_targeted_v2,2026-02-04T08:00:00Z,2026-02-04T10:14:00Z,3,True,reject,completed,1,0,"{""utility"":0.9800000000000001}"
holdout-ambiguous-1,approval_targeted_v2,2026-03-17T08:00:00Z,2026-03-17T10:14:00Z,3,True,escalate,completed,1,0,"{""utility"":0.6000000000000001}"
holdout-ambiguous-2,approval_targeted_v2,2026-03-18T08:00:00Z,2026-03-18T10:14:00Z,3,True,escalate,completed,1,0,"{""utility"":0.6000000000000001}"
holdout-approve-1,approval_targeted_v2,2026-02-17T08:00:00Z,2026-02-17T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
holdout-approve-2,approval_targeted_v2,2026-02-18T08:00:00Z,2026-02-18T10:14:00Z,3,True,approve,completed,1,0,"{""utility"":1.0}"
holdout-late-1,approval_targeted_v2,2026-03-17T08:00:00Z,2026-03-17T11:21:00Z,4,True,approve,completed,1,0,"{""utility"":0.96}"
holdout-late-2,approval_targeted_v2,2026-03-18T08:00:00Z,2026-03-18T11:21:00Z,4,True,reject,completed,1,0,"{""utility"":0.96}"
holdout-reject-1,approval_targeted_v2,2026-02-17T08:00:00Z,2026-02-17T10:14:00Z,3,True,reject,completed,1,0,"{""utility"":0.9800000000000001}"
holdout-reject-2,approval_targeted_v2,2026-02-18T08:00:00Z,2026-02-18T10:14:00Z,3,True,reject,completed,1,0,"{""utility"":0.9800000000000001}"
