case_id,step_index,ts_utc,approve_signal,reject_signal,escalate_signal,evidence_phase
dev-approve-1,0,2026-02-01T08:00:00Z,0.44,0.08,0.46,1
dev-approve-1,1,2026-02-01T09:07:00Z,0.67,0.11,0.42,2
dev-approve-1,2,2026-02-01T10:14:00Z,0.83,0.1,0.31,3
dev-approve-1,3,2026-02-01T11:21:00Z,0.9,0.08,0.22,4
dev-approve-1,4,2026-02-01T12:28:00Z,0.93,0.08,0.2,5
dev-approve-1,5,2026-02-01T13:35:00Z,0.95,0.08,0.18,6
dev-reject-1,0,2026-02-01T08:00:00Z,0.1,0.43,0.47,1
dev-reject-1,1,2026-02-01T09:07:00Z,0.12,0.66,0.42,2
dev-reject-1,2,2026-02-01T10:14:00Z,0.11,0.82,0.3,3
dev-reject-1,3,2026-02-01T11:21:00Z,0.1,0.9,0.22,4
dev-reject-1,4,2026-02-01T12:28:00Z,0.08,0.93,0.2,5
dev-reject-1,5,2026-02-01T13:35:00Z,0.08,0.95,0.18,6
dev-late-1,0,2026-03-01T08:00:00Z,0.24,0.22,0.36,1
dev-late-1,1,2026-03-01T09:07:00Z,0.28,0.24,0.4,2
dev-late-1,2,2026-03-01T10:14:00Z,0.36,0.3,0.43,3
dev-late-1,3,2026-03-01T11:21:00Z,0.81,0.33,0.4,4
dev-late-1,4,2026-03-01T12:28:00Z,0.87,0.3,0.36,5
dev-late-1,5,2026-03-01T13:35:00Z,0.9,0.28,0.34,6
dev-ambiguous-1,0,2026-03-01T08:00:00Z,0.42,0.38,0.52,1
dev-ambiguous-1,1,2026-03-01T09:07:00Z,0.45,0.42,0.68,2
dev-ambiguous-1,2,2026-03-01T10:14:00Z,0.47,0.44,0.74,3
dev-ambiguous-1,3,2026-03-01T11:21:00Z,0.5,0.46,0.79,4
dev-ambiguous-1,4,2026-03-01T12:28:00Z,0.52,0.47,0.84,5
dev-ambiguous-1,5,2026-03-01T13:35:00Z,0.53,0.48,0.88,6
dev-approve-2,0,2026-02-02T08:00:00Z,0.445,0.08,0.45,1
dev-approve-2,1,2026-02-02T09:07:00Z,0.675,0.11,0.41,2
dev-approve-2,2,2026-02-02T10:14:00Z,0.835,0.1,0.3,3
dev-approve-2,3,2026-02-02T11:21:00Z,0.905,0.08,0.21,4
dev-approve-2,4,2026-02-02T12:28:00Z,0.935,0.08,0.19,5
dev-approve-2,5,2026-02-02T13:35:00Z,0.955,0.08,0.17,6
dev-reject-2,0,2026-02-02T08:00:00Z,0.1,0.435,0.46,1
dev-reject-2,1,2026-02-02T09:07:00Z,0.12,0.665,0.41,2
dev-reject-2,2,2026-02-02T10:14:00Z,0.11,0.825,0.29,3
dev-reject-2,3,2026-02-02T11:21:00Z,0.1,0.905,0.21,4
dev-reject-2,4,2026-02-02T12:28:00Z,0.08,0.935,0.19,5
dev-reject-2,5,2026-02-02T13:35:00Z,0.08,0.955,0.17,6
dev-late-2,0,2026-03-02T08:00:00Z,0.22,0.24,0.36,1
dev-late-2,1,2026-03-02T09:07:00Z,0.24,0.28,0.4,2
dev-late-2,2,2026-03-02T10:14:00Z,0.3,0.36,0.43,3
dev-late-2,3,2026-03-02T11:21:00Z,0.33,0.81,0.4,4
dev-late-2,4,2026-03-02T12:28:00Z,0.3,0.87,0.36,5
dev-late-2,5,2026-03-02T13:35:00Z,0.28,0.9,0.34,6
