sample_id,split,signal_strength,consistency,urgency,exception_count,baseline_label,clean_label
train-01,train,0.92,0.88,0.10,0,1,1
train-02,train,0.88,0.84,0.12,0,1,1
train-03,train,0.82,0.80,0.18,0,0,1
train-04,train,0.77,0.74,0.22,1,1,1
train-05,train,0.70,0.68,0.30,1,1,1
train-06,train,0.64,0.61,0.34,1,0,1
train-07,train,0.58,0.47,0.49,2,0,0
train-08,train,0.51,0.40,0.54,2,1,0
train-09,train,0.44,0.35,0.59,2,0,0
train-10,train,0.37,0.29,0.66,3,0,0
train-11,train,0.31,0.24,0.72,3,1,0
train-12,train,0.24,0.19,0.79,4,0,0
holdout-01,holdout,0.91,0.87,0.11,0,1,1
holdout-02,holdout,0.80,0.76,0.23,1,1,1
holdout-03,holdout,0.69,0.65,0.31,1,0,1
holdout-04,holdout,0.61,0.50,0.45,2,0,0
holdout-05,holdout,0.48,0.37,0.56,2,1,0
holdout-06,holdout,0.35,0.28,0.68,3,0,0
holdout-07,holdout,0.27,0.21,0.76,4,0,0
holdout-08,holdout,0.74,0.71,0.27,1,1,1
